year,trif-id,frs-id,fac-name,address,city,county,st,zip,10. BIA,11. TRIBE,12. LATITUDE,13. LONGITUDE,14. HORIZONTAL DATUM,15. PARENT CO NAME,16. PARENT CO DB NUM,17. STANDARD PARENT CO NAME,18. FEDERAL FACILITY,19. INDUSTRY SECTOR CODE,20. INDUSTRY SECTOR,21. PRIMARY SIC,22. SIC 2,23. SIC 3,24. SIC 4,25. SIC 5,26. SIC 6,27. PRIMARY NAICS,28. NAICS 2,29. NAICS 3,30. NAICS 4,31. NAICS 5,32. NAICS 6,33. DOC_CTRL_NUM,34. CHEMICAL,35. ELEMENTAL METAL INCLUDED,36. CAS #/COMPOUND ID,37. SRS ID,38. CLEAN AIR ACT CHEMICAL,39. CLASSIFICATION,40. METAL,41. METAL CATEGORY,42. CARCINOGEN,43. FORM TYPE,44. UNIT OF MEASURE,45. 5.1 - FUGITIVE AIR,46. 5.2 - STACK AIR,47. 5.3 - WATER,48. 5.4 - UNDERGROUND,49. 5.4.1 - UNDERGROUND CL I,50. 5.4.2 - UNDERGROUND C II-V,51. 5.5.1 - LANDFILLS,52. 5.5.1A - RCRA C LANDFILL,53. 5.5.1B - OTHER LANDFILLS,54. 5.5.2 - LAND TREATMENT,55. 5.5.3 - SURFACE IMPNDMNT,56. 5.5.3A - RCRA SURFACE IM,57. 5.5.3B - OTHER SURFACE I,58. 5.5.4 - OTHER DISPOSAL,59. ON-SITE RELEASE TOTAL,60. 6.1 - POTW - TRNS RLSE,61. 6.1 - POTW - TRNS TRT,62. POTW - TOTAL TRANSFERS,63. 6.2 - M10,64. 6.2 - M41,65. 6.2 - M62,66. 6.2 - M40 METAL,67. 6.2 - M61 METAL,68. 6.2 - M71,69. 6.2 - M81,70. 6.2 - M82,71. 6.2 - M72,72. 6.2 - M63,73. 6.2 - M66,74. 6.2 - M67,75. 6.2 - M64,76. 6.2 - M65,77. 6.2 - M73,78. 6.2 - M79,79. 6.2 - M90,80. 6.2 - M94,81. 6.2 - M99,82. OFF-SITE RELEASE TOTAL,83. 6.2 - M20,84. 6.2 - M24,85. 6.2 - M26,86. 6.2 - M28,87 6.2 - M93,88. OFF-SITE RECYCLED TOTAL,89. 6.2 - M56,90. 6.2 - M92,91. OFF-SITE ENERGY RECOVERY T,92. 6.2 - M40 NON-METAL,93. 6.2 - M50,94. 6.2 - M54,95. 6.2 - M61 NON-METAL,96. 6.2 - M69,97. 6.2 - M95,98. OFF-SITE TREATED TOTAL,99. 6.2 - UNCLASSIFIED,100. 6.2 - TOTAL TRANSFER,101. TOTAL RELEASES,102. 8.1 - RELEASES,103. 8.1A - ON-SITE CONTAINED,104. 8.1B - ON-SITE OTHER ,105. 8.1C - OFF-SITE CONTAIN,106. 8.1D - OFF-SITE OTHER R,107. 8.2 - ENERGY RECOVER ON,108. 8.3 - ENERGY RECOVER OF,109. 8.4 - RECYCLING ON SITE,110. 8.5 - RECYCLING OFF SIT,111. 8.6 - TREATMENT ON SITE,112. 8.7 - TREATMENT OFF SITE,113. PRODUCTION WSTE (8.1-8.7),114. 8.8 - ONE-TIME RELEASE,115. PROD_RATIO_OR_ ACTIVITY,116. 8.9 - PRODUCTION RATIO
2019,9072WRCRFT1571M,110001201173,AEROCRAFT HEAT TREATING CO INC,15701 MINNESOTA AVENUE,PARAMOUNT,LOS ANGELES,CA,90723,,,33.89029,-118.1667,NAD83,BERKSHIRE HATHAWAY INC,1024314,BERKSHIRE HATHAWAY INC,NO,332,Fabricated Metals,,,,,,,332811,,,,,,1319218288898,Nickel,NO,7440020,149674,YES,TRI,YES,1,YES,R,Pounds,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4728,0,0,0,0,0,0,4728,0,1203,0,0,0,1203,0,0,0,0,0,0,0,0,0,0,0,5931,4729,0,0,1,4728,0,0,0,0,1203,0,0,5932,,PRODUCTION,0.91
2019,9072WRCRFT1571M,110001201173,AEROCRAFT HEAT TREATING CO INC,15701 MINNESOTA AVENUE,PARAMOUNT,LOS ANGELES,CA,90723,,,33.89029,-118.1667,NAD83,BERKSHIRE HATHAWAY INC,1024314,BERKSHIRE HATHAWAY INC,NO,332,Fabricated Metals,,,,,,,332811,,,,,,1319218288874,Cobalt,NO,7440484,150078,YES,TRI,YES,1,YES,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,457,0,0,0,0,0,0,457,0,1038,0,0,0,1038,0,0,0,0,0,0,0,0,0,0,0,1495,457,0,0,0,457,0,0,0,0,1038,0,0,1495,,PRODUCTION,0.91
2019,9072WRCRFT1571M,110001201173,AEROCRAFT HEAT TREATING CO INC,15701 MINNESOTA AVENUE,PARAMOUNT,LOS ANGELES,CA,90723,,,33.89029,-118.1667,NAD83,BERKSHIRE HATHAWAY INC,1024314,BERKSHIRE HATHAWAY INC,NO,332,Fabricated Metals,,,,,,,332811,,,,,,1319218288862,Chromium,NO,7440473,150060,YES,TRI,YES,1,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2158,0,0,0,0,0,0,2158,0,7284,0,0,0,7284,0,0,0,0,0,0,0,0,0,0,0,9442,2158,0,0,0,2158,0,0,0,0,7284,0,0,9442,,PRODUCTION,0.89
2019,95134SNMNS2700N,110013285943,SANMINA -   PLANT # 4,2700 N FIRST ST,SAN JOSE,SANTA CLARA,CA,95134,,,37.38917,-121.93002,NAD83,NA,,SANMINA CORP,NO,334,Computers and Electronic Products,,,,,,,334412,,,,,,1319218002069,LEAD  and LEAD COMPOUNDS,YES,N420,650002,YES,PBT,YES,1,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6167,0,0,0,6167,0,0,0,0,0,0,0,0,0,0,0,6167,0,0,0,0,0,0,0,0,0,6167,0,0,6167,,PRODUCTION,1.02
2019,90501NTDST401VA,110000475085,US GYPSUM CO,401 VAN NESS AVE,TORRANCE,LOS ANGELES,CA,90501,,,33.84379,-118.31886,NAD83,USG CORP,121286777,USG CORP,NO,327,Nonmetallic Mineral Product,,,,,,,327420,,,,,,1319217927300,LEAD  and LEAD COMPOUNDS,YES,N420,650002,YES,PBT,YES,1,NO,R,Pounds,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37,0,0,0,0,0,18.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.37,18.62,0,0,0.25,18.37,0,0,0,0,0,0,0,18.62,,PRODUCTION,1.23
2019,90723WBRMT16706,110000475995,WEBER METALS INC,16706 GARFIELD AVE,PARAMOUNT,LOS ANGELES,CA,90723,,,33.88283,-118.16874,NAD83,NA,,NA,NO,332,Fabricated Metals,,,,,,,332112,,,,,,1319218231963,Nitric acid,NO,7697372,152686,NO,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,200,0,200,0,0,0,0,0,0,0,0,0,0,242411,200,242611,,ACTIVITY,0.8
2019,90502CTLNP193SN,110031000306,CALPORTLAND CO NORMANDIE PLANT,19030 S NORMANDIE AVE,TORRANCE,LOS ANGELES,CA,90502,,,33.85777,-118.29924,NAD83,TAIHEIYO CEMENT USA INC,175418052,TAIHEIYO CEMENT USA INC,NO,327,Nonmetallic Mineral Product,,,,,,,327320,,,,,,1319217828211,LEAD  and LEAD COMPOUNDS,YES,N420,650002,YES,PBT,YES,1,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,2.6,0,0,0,0,0,0,0,0,0,2.6,0,0,2.6,,PRODUCTION,0.84
2019,95035LNRTC275SH,110002700113,ANALOG DEVICES INC,275 S HILLVIEW DR,MILPITAS,SANTA CLARA,CA,95035,,,37.42778,-121.89263,NAD83,ANALOG DEVICES INC,NA,ANALOG DEVICES INC,NO,334,Computers and Electronic Products,,,,,,,334413,,,,,,1319218140111,"Sulfuric acid (acid aerosols including mists, vapors, gas, fog, and other airborne forms of any particle size)",NO,7664939,152405,NO,TRI,NO,0,NO,R,Pounds,5,85,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,90,0,0,0,0,0,0,3411,0,3501,,PRODUCTION,1.06
2019,90723WBRMT16706,110000475995,WEBER METALS INC,16706 GARFIELD AVE,PARAMOUNT,LOS ANGELES,CA,90723,,,33.88283,-118.16874,NAD83,NA,,NA,NO,332,Fabricated Metals,,,,,,,332112,,,,,,1319218231948,Nitrate compounds (water dissociable; reportable only when in aqueous solution),NO,N511,649616,NO,TRI,NO,0,NO,R,Pounds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238526,238526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238526,0,238526,0,0,0,0,0,0,0,0,0,0,0,238526,238526,,ACTIVITY,0.8
2019,95035LNRTC275SH,110002700113,ANALOG DEVICES INC,275 S HILLVIEW DR,MILPITAS,SANTA CLARA,CA,95035,,,37.42778,-121.89263,NAD83,ANALOG DEVICES INC,NA,ANALOG DEVICES INC,NO,334,Computers and Electronic Products,,,,,,,334413,,,,,,1319218140109,Hydrogen fluoride,NO,7664393,152371,YES,TRI,NO,0,NO,R,Pounds,2,17,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,128,0,128,19,0,0,19,0,0,0,0,0,0,12855,128,13002,,PRODUCTION,1.06
